netctl 1.29-2
network-manager-applet 1.36.0-2.1
networkmanager 1.58.1-1
networkmanager-openvpn 1.12.5-1.1
nfs-utils 2.9.2-1.1
ngrok 3.39.11-1
nilfs-utils 2.3.1-1.1
ninja 1.13.2-3.1
noctalia-shell 4.7.7-3
normcap 0.6.0-3
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
nss-mdns 0.15.1-2.1
nvidia-prime 1.0-6
nvidia-settings 610.57.04-1
nvidia-utils 610.57.04-1
nwg-look 1.1.1-3.1
obs-plugin-input-overlay-bin 5.1.0-1
obs-plugin-tuna-bin 1.9.11-1
obs-studio 32.2.2-1.1
obs-studio-plugin-browser 32.2.2-1.1
obsidian 1.13.7-2
onlyoffice-bin 9.4.0-1
openbsd-netcat 1.238_1-1.1
opencl-nvidia 610.57.04-1
openssh 10.5p1-1.1
os-prober 1.84-1.1
pacman-contrib 1.13.1-1.2
pandoc-cli 3.10.2-1
papirus-icon-theme 20260801-1
partitionmanager 26.08.0-1.1
pass 1.7.4-7
pavucontrol 1:6.2-1.1
perl 5.42.2-2.1
pgadmin4-desktop 9.14-1
phonon-qt6-vlc 0.12.0-6
pipewire-alsa 1:1.6.8-1.2
pipewire-jack 1:1.6.8-1.2
pipewire-pulse 1:1.6.8-1.2
pkgfile 26-1.1
plasma-foreground-booster 0.0.dmemcg.experimental-3
plocate 1.1.24-2.1
plymouth 26.134.222-2.1
poppler-glib 26.08.0-1.1
postgresql 18.6-1.1
powertop 2.15-2.1
protonplus 0.6.4-1
protonup-qt 2.15.1-1
pv 1.11.0-1.1
pyside6-tools 6.11.2-1.1
python 3.14.6-3
python-debugpy 1.8.21-1.1
python-defusedxml 0.7.1-8
python-locust 2.42.6-1
python-packaging 26.3-1
python-pipx 1.15.0-1
python-playwright 1.62.0-1
python-poetry 2.4.1-1
python-pywal 3.3.0-11
qbittorrent 5.2.3-3
qemu-full 11.1.0-1
rclone 1.75.0-1.1
rebuild-detector 4.4.5-1
reflector 2023-5
resvg 0.48.1-1.1
ripgrep 15.2.0-1
rsync 3.5.0-1.1
runc 1.5.1-1.1
s-nail 14.9.25-1.1
sbctl 0.18-2.1
sg3_utils 1.49-1.1
shelly 3.0.6-1
shelly-flatpak-backend 3.0.6-1
smartmontools 7.5-1.1
snapper 0.13.1-3.1
sof-firmware 2025.12.2-1
spicetify-bin 2.44.0-1
spotify-launcher 0.6.6-1.1
spotify-player 0.24.1-1.1
stow 2.4.1-1
sudo 1.9.17.p2-6.1
swaync 0.12.6-1.1
swayosd 0.3.2-1.1
switcheroo-control 3.0-1.1
sysfsutils 2.1.1-2.2
teams-for-linux 2.16.0-1
telegram-desktop 7.0.9-4.1
texinfo 7.3-1.1
texlive-fontsrecommended 2026.1-1
texlive-plaingeneric 2026.1-1
texlive-xetex 2026.1-1
thunar 4.20.9-1.1
thunderbird 153.0.2-2.1
tlp 1.10.2-1
tmux 3.7_c-1.1
tree 2.3.2-1
ttf-bitstream-vera 1.10-16
ttf-caladea 20200113-4
ttf-carlito 20230509-2
ttf-cascadia-code-nerd 3.5.1-2
ttf-croscore 20220810-3
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-hack-nerd 3.5.1-2
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.5.1-2
ttf-ms-fonts 2.0-12
ttf-opensans 3.003-1
tty-clock 2.3-2
typos 1.49.0-1.1
typos-lsp 0.1.55-1.1
ufw 0.36.2-7
ufw-extras 1.3.0-1
ugrep 7.8.4-1.1
unrar 1:7.2.7-1.1
unzip 6.0-23.1
upower 1.91.3-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
uv 0.12.5-1.1
vde2 2.3.3-9.1
victus-control-bin 0.2.1-1
vim 9.2.0849-1.1
virt-manager 5.1.0-4
visual-studio-code-bin 1.134.0-1
vlc 3.0.23_2-11.1
vlc-plugins-all 3.0.23_2-11.1
vpl-gpu-rt 26.2.4-1.1
vulkan-icd-loader 1.4.357.0-1.1
vulkan-intel 3:26.2.1-1
walker 2.17.0-1
waybar 0.15.0-2.1
waypaper 2.8-1
wev 1.1.0-1.1
wget 1.25.0-6.1
whatsapp-linux-desktop-bin 1.0.1-1
which 2.25-1.1
winboat 0.9.0-9
wine 11.16-1.1
wireless_tools 30.pre9-5.1
wireplumber 0.5.15-1.1
wl-clipboard 1:2.3.0-1.1
wlogout 1.2.2-0
wofi 1.5.3-1.1
wofi-emoji 1.2-3
wpa_supplicant 2:2.12-1.1
xdg-desktop-portal-hyprland 1.4.1-1.1
xdg-user-dirs 0.20-1.1
xfsprogs 7.1.1-1.1
xl2tpd 1.3.20-1.1
xournalpp 1.3.7-1.1
xsettingsd 1.0.4-1.1
yad 15.0-2.1
yay 13.0.1-1
yazi 26.8.15-1.1
yt-dlp 2026.08.19-1
zed 1.16.1-1
zip 3.0-14.1
zoom 7.1.5-1
zoxide 0.10.0-1.1
